193912,0
194001,-0.71
194002,0.72
194003,0
194004,0
194005,0
194006,0.71
194007,-0.71
194008,0
194009,0
194010,0
194011,0
194012,0.71
194101,0
194102,0
194103,0.71
194104,0.7
194105,0.7
194106,2.08
194107,0
194108,1.36
194109,1.34
194110,1.32
194111,0.65
194112,0.65
194201,1.29
194202,0.64
194203,1.27
194204,0.63
194205,1.24
194206,0
194207,0.61
194208,0.61
194209,0
194210,1.21
194211,0.6
194212,0.6
194301,0
194302,0
194303,1.78
194304,1.16
194305,0.57
194306,0
194307,-0.57
194308,-0.57
194309,0.58
194310,0
194311,0
194312,0
194401,0
194402,0
194403,0
194404,0.57
194405,0
194406,0.57
194407,0.57
194408,0
194409,0
194410,0
194411,0
194412,0.56
194501,0
194502,0
194503,0
194504,0
194505,0.56
194506,1.12
194507,0
194508,0
194509,0
194510,0
194511,0
194512,0.55
194601,0
194602,-0.55
194603,1.1
194604,0.55
194605,0.54
194606,1.08
194607,5.88
194608,2.02
194609,0.99
194610,1.96
194611,2.4
194612,0.94
194701,0
194702,0
194703,1.86
194704,0
194705,0
194706,0.46
194707,0.91
194708,1.35
194709,2.22
194710,0
194711,0.43
194712,1.3
194801,1.28
194802,-0.84
194803,-0.43
194804,1.71
194805,0.42
194806,0.84
194807,1.24
194808,0.41
194809,0
194810,-0.41
194811,-0.82
194812,-0.41
194901,-0.41
194902,-0.83
194903,0
194904,0.42
194905,-0.42
194906,0.42
194907,-0.84
194908,0.42
194909,0.42
194910,-0.84
194911,0.42
194912,-0.84
195001,-0.42
195002,0
195003,0.43
195004,0
195005,0.42
195006,0.42
195007,1.26
195008,0.83
195009,0.41
195010,0.82
195011,0.41
195012,1.21
195101,1.6
195102,1.18
195103,0.39
195104,0
195105,0.39
195106,0
195107,0
195108,0
195109,0.77
195110,0.38
195111,0.76
195112,0.38
195201,0
195202,-0.75
195203,0
195204,0.38
195205,0
195206,0.38
195207,0.75
195208,0
195209,0
195210,0
195211,0
195212,0
195301,-0.37
195302,-0.38
195303,0.38
195304,0
195305,0.38
195306,0.37
195307,0
195308,0.37
195309,0
195310,0.37
195311,-0.37
195312,0
195401,0
195402,0
195403,0
195404,-0.37
195405,0.37
195406,0
195407,0
195408,0
195409,-0.37
195410,0
195411,0
195412,-0.37
195501,0
195502,0
195503,0
195504,0
195505,0
195506,0
195507,0.37
195508,0
195509,0.37
195510,0
195511,0
195512,-0.37
195601,0
195602,0
195603,0
195604,0.37
195605,0.37
195606,0.74
195607,0.74
195608,-0.36
195609,0.37
195610,0.36
195611,0
195612,0.36
195701,0
195702,0.36
195703,0.36
195704,0.36
195705,0.36
195706,0.36
195707,0.71
195708,0
195709,0
195710,0
195711,0.35
195712,0
195801,0.7
195802,0
195803,0.7
195804,0.35
195805,0
195806,0
195807,0.35
195808,-0.34
195809,0
195810,0
195811,0.35
195812,-0.34
195901,0.35
195902,-0.34
195903,0
195904,0.35
195905,0
195906,0.34
195907,0.34
195908,0
195909,0.34
195910,0.34
195911,0
195912,0
196001,-0.34
196002,0.34
196003,0
196004,0.34
196005,0
196006,0.34
196007,0
196008,0
196009,0
196010,0.68
196011,0
196012,0
196101,0
196102,0
196103,0
196104,0
196105,0
196106,0
196107,0.67
196108,-0.33
196109,0.33
196110,0
196111,0
196112,0
196201,0
196202,0.33
196203,0
196204,0.33
196205,0
196206,0
196207,0.33
196208,0
196209,0.33
196210,0
196211,0
196212,0
196301,0
196302,0
196303,0.33
196304,0
196305,0
196306,0.33
196307,0.33
196308,0
196309,0
196310,0.33
196311,0
196312,0.32
196401,0
196402,0
196403,0
196404,0
196405,0
196406,0.32
196407,0.32
196408,-0.32
196409,0.32
196410,0
196411,0.32
196412,0
196501,0
196502,0
196503,0.32
196504,0.32
196505,0
196506,0.64
196507,0
196508,0
196509,0
196510,0.32
196511,0
196512,0.32
196601,0
196602,0.63
196603,0.31
196604,0.62
196605,0
196606,0.31
196607,0.31
196608,0.62
196609,0
196610,0.61
196611,0
196612,0
196701,0
196702,0
196703,0.3
196704,0.3
196705,0.3
196706,0.3
196707,0.3
196708,0.3
196709,0.3
196710,0.3
196711,0.3
196712,0.3
196801,0.59
196802,0.29
196803,0.29
196804,0.29
